Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 0, CosineDistance, 1, 18341, initial table, 0.23802349, 0.32192478, 0.27368835, 0.56342334, 0.56958133, 0.4139797, 0.64894944, 52.3416, -0.008924328, 0.49866667, 0.5160299, 0.31963435, 0.1996753, 0.12582836, 0.07999889, -0.30251238, -0.41075066, 15789, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 0, CosineDistance, 1, 27, 95% concept, 0.5072876, 0.34656355, 0.4117987, 0.7359149, 0.49779195, 0.30108675, 0.6087794, 60.881542, -0.025347717, 0.916, 0.49917853, 0.3084286, 0.19327186, 0.12272068, 0.07888625, -0.31706083, -0.3873014, 32, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 0, CosineDistance, 1, 18341, 95% aprox, 0.5072876, 0.34656355, 0.4117987, 0.7359149, 0.49779195, 0.30108675, 0.6087794, 60.881542, -0.025347717, 0.916, 0.49917853, 0.3084286, 0.19327186, 0.12272068, 0.07888625, -0.31706083, -0.3873014, 15923, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 0, CosineDistance, 1, 750, n*m^0.2 concept, 0.23802349, 0.32192478, 0.27368835, 0.56342334, 0.56958133, 0.4139797, 0.64894944, 52.3416, -0.008924328, 0.49866667, 0.5160299, 0.31963435, 0.1996753, 0.12582836, 0.07999889, -0.30251238, -0.41075066, 659, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 0, CosineDistance, 1, 18341, n*m^0.2 aprox, 0.23802349, 0.32192478, 0.27368835, 0.56342334, 0.56958133, 0.4139797, 0.64894944, 52.3416, -0.008924328, 0.49866667, 0.5160299, 0.31963435, 0.1996753, 0.12582836, 0.07999889, -0.30251238, -0.41075066, 15880, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 3, CosineDistance, 1, 18341, initial table, 0.40443417, 0.35652092, 0.3789691, 0.6544294, 0.55191416, 0.32387403, 0.633437, 58.677685, -0.003829649, 0.91466665, 0.49276054, 0.2986825, 0.18266447, 0.112736076, 0.07022646, -0.30124986, -0.4080443, 15934, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 3, CosineDistance, 1, 27, 95% concept, 0.65825456, 0.44817525, 0.5332709, 0.80415034, 0.3921262, 0.2845148, 0.53062576, 61.157024, -0.027097888, 0.8, 0.48868397, 0.29467776, 0.17977424, 0.1109392, 0.06923097, -0.29180977, -0.37496564, 37, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 3, CosineDistance, 1, 18341, 95% aprox, 0.65825456, 0.44817525, 0.5332709, 0.80415034, 0.3921262, 0.2845148, 0.53062576, 61.157024, -0.027097888, 0.8, 0.48868397, 0.29467776, 0.17977424, 0.1109392, 0.06923097, -0.29180977, -0.37496564, 18397, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 3, CosineDistance, 1, 750, n*m^0.2 concept, 0.40443417, 0.35652092, 0.3789691, 0.6544294, 0.55191416, 0.32387403, 0.633437, 58.677685, -0.003829649, 0.91466665, 0.49276054, 0.2986825, 0.18266447, 0.112736076, 0.07022646, -0.30124986, -0.4080443, 654, 
50, featureExtraction.featureWeight.WeightMethod@15615099, 0.0, 0, 3, CosineDistance, 1, 18341, n*m^0.2 aprox, 0.40443417, 0.35652092, 0.3789691, 0.6544294, 0.55191416, 0.32387403, 0.633437, 58.677685, -0.003829649, 0.91466665, 0.49276054, 0.2986825, 0.18266447, 0.112736076, 0.07022646, -0.30124986, -0.4080443, 15894, 
